ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
AALR3,ALLIAR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,stock,324.0,493643000.0,1239650000.0,-80486000.0,1066930000.0,363200000.0,-0.75,-0.57,,,,,46.0,0.0,,30.0,Regular
ABCB4,ABC Brasil PN N2,Intermediários Financeiros,stock,2407.0,6272670000.0,,1006640000.0,7147590000.0,,1.41,0.0,,,0.063154,,88.0,,,58.22,Bom
ABEV3,AMBEV S/A ON,Bebidas,stock,1569.0,247332000000.0,88209600000.0,15577700000.0,90125800000.0,-16534900000.0,1.73,,,,0.023546,,,0.55,,61.03,Bom
ABYA3,ABYARA ON NM,Construção Civil,stock,491.0,515088000.0,250657000.0,-2398000.0,292060000.0,353603000.0,-0.08,-0.1,,,,,,0.0,,24.65,Fraco
ACES3,ARCELORMITTAL INOX BRASIL ON,Siderurgia e Metalurgia,stock,9527.0,7080470000.0,4182420000.0,805922000.0,3105800000.0,-643305000.0,2.59,,,,,,,0.0,,52.5,Bom
ACES4,ARCELORMITTAL INOX BRASIL PN,Siderurgia e Metalurgia,stock,9473.0,7040330000.0,4182420000.0,805922000.0,3105800000.0,-643305000.0,2.59,,,,,,,0.0,,52.5,Bom
ADHM3,ADVANCED-DH ON,,stock,156.0,25440500.0,33000.0,-6224000.0,-19776000.0,0.0,3.15,,,,,-409.0,,0.0,,44.0,Regular
ADMF3,CIABRASF ON NM,Holdings Diversificadas,stock,2000.0,116680000.0,0.0,-469787000.0,-5444000.0,-46000.0,,0.0,,,,-25.0,,0.0,,47.75,Regular
AEDU3,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA ON NM,Diversos,stock,1835.0,8020250000.0,1936840000.0,135159000.0,2415400000.0,430570000.0,0.56,0.7,,,,,,0.0,,52.5,Bom
AELP3,AES ELPA ON,Energia Elétrica,stock,193.0,181318000.0,-2919120000.0,21369000.0,-904000.0,-9130000.0,,-0.07,,,,,,0.0,,25.2,Regular
AERI3,AERIS ON NM,Máquinas e Equipamentos,stock,242.0,150331000.0,641250000.0,-944670000.0,-836456000.0,1862420000.0,,,,,,-16.0,,0.0,,41.5,Regular
AESB3,AES BRASIL ON NM,Energia Elétrica,stock,811.0,7654000000.0,4219900000.0,-398168000.0,4565400000.0,9799760000.0,-0.87,-0.71,,,,,,0.0,,19.0,Fraco
AESL3,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. ON,Energia Elétrica,stock,1008190.0,11346400000.0,12713700000.0,1362900000.0,6876330000.0,8568180000.0,1.98,,,,,,,0.0,,52.5,Bom
AESL4,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. PN,Energia Elétrica,stock,1008190.0,11346400000.0,12713700000.0,1362900000.0,6876330000.0,8568180000.0,1.98,,,,,,,0.0,,52.5,Bom
AFLT3,AFLUENTE T ON,Energia Elétrica,stock,726.0,457997000.0,63986000.0,32858000.0,260421000.0,-18852000.0,1.26,,,,-0.140189,,,0.52,,59.15,Bom
AFLU3,AFLUENTE ON,Energia Elétrica,stock,515.0,96912700.0,32511000.0,10594000.0,44270000.0,-10774000.0,2.39,,,,,,,0.0,,52.5,Bom
AFLU5,AFLUENTE PNA,Energia Elétrica,stock,503.0,94654500.0,32511000.0,10594000.0,44270000.0,-10774000.0,2.39,,,,,,,0.0,,52.5,Bom
AGEI3,AGRE EMP IMOB ON NM,Construção Civil,stock,780.0,2340000000.0,0.0,0.0,1878210000.0,1621640000.0,,,,,,,,0.0,,47.5,Regular
AGEN33,Agrenco DR3,Comércio e Distribuição,stock,16.0,38833000.0,0.0,98514000.0,-1112630000.0,1224290000.0,-0.89,0.0,,,,39.0,,0.0,,22.9,Fraco
